Date,DX-Y.NYB,EFA,GLD,GSG,IEF,QQQ,SHY,SPY,TLT,VNQ,XLF,XLU
2012-11-01,80.1500015258789,38.29728698730469,166.0500030517578,32.959999084472656,84.5816421508789,58.86507034301758,71.13946533203125,113.66983032226562,90.10734558105469,38.90251159667969,10.1276273727417,23.226350784301758
2012-12-01,79.7699966430664,39.542110443115234,162.02000427246094,32.790000915527344,83.6756820678711,58.26567077636719,71.12265014648438,113.8777847290039,87.5007095336914,39.86583709716797,10.532472610473633,22.963308334350586
2013-01-01,79.20999908447266,41.465606689453125,161.1999969482422,34.290000915527344,82.81407928466797,60.15547180175781,71.16565704345703,120.55619049072266,85.06697082519531,41.859291076660156,11.238655090332031,24.326431274414062
2013-02-01,81.9800033569336,40.931297302246094,153.0,32.540000915527344,83.64146423339844,60.362369537353516,71.19090270996094,122.0943832397461,85.92984771728516,42.36826705932617,11.3744478225708,24.891691207885742
2013-03-01,82.98999786376953,41.465606689453125,154.4499969482422,32.900001525878906,83.89266967773438,62.04462432861328,71.21705627441406,126.1692123413086,85.57564544677734,43.25132369995117,11.775365829467773,26.00227165222168
2013-04-01,81.7300033569336,43.54662322998047,142.77000427246094,31.290000915527344,85.1580810546875,63.7661247253418,71.26600646972656,129.16517639160156,89.58284759521484,46.5205078125,12.132997512817383,27.791065216064453
2013-05-01,83.37999725341797,42.23192596435547,133.9199981689453,30.809999465942383,82.52298736572266,66.04735565185547,71.17147827148438,132.2147216796875,83.52980041503906,43.739654541015625,12.872654914855957,25.275575637817383
2013-06-01,83.16999816894531,40.284488677978516,119.11000061035156,30.799999237060547,80.41319274902344,64.26204681396484,71.1014404296875,129.76382446289062,80.7745590209961,42.466644287109375,12.619614601135254,25.24204444885254
2013-07-01,81.44999694824219,43.28873825073242,127.95999908447266,32.540000915527344,80.12898254394531,68.53568267822266,71.21704864501953,137.19166564941406,78.9603042602539,43.259586334228516,13.347976684570312,26.606319427490234
2013-08-01,82.08999633789062,42.44232940673828,134.6199951171875,33.54999923706055,78.98698425292969,68.26434326171875,71.14703369140625,133.07699584960938,77.88433837890625,40.24001693725586,12.663962364196777,25.278030395507812
2013-09-01,80.22000122070312,45.763404846191406,128.17999267578125,32.380001068115234,80.43547058105469,71.34874725341797,71.30565643310547,136.62249755859375,78.38209533691406,41.263179779052734,12.970138549804688,25.32547378540039
